	name	city	fulladdress	lat	long	location	cityalias	display_address	pincode	storemap_link	store_status
101040	Nehru Ground, Faridabad	Faridabad	Shop no. 28A, Nehru Ground, NIIT, Faridabad - 121 001.	28.390899	77.301941	28.390899,77.301941	Faridabad	Shop no. 28A, Nehru Ground, NIIT, Faridabad - 121 001.	121 001		
101121	23B-Lajpatnagar-2, Delhi	Delhi	# J-23 B ,Lajpat Nagar -II New Delhi - 110024	28.569311	77.242931	28.569311,77.242931	Delhi	# J-23 B ,Lajpat Nagar -II New Delhi - 110024	110024		
101334	Janakplace-Janakpuri2, Delhi	Delhi	F-8, Janakplace, District Centre, Janakpuri, Delhi - 110058.	28.6304	77.0805	28.6304,77.0805	Delhi	F-8, Janakplace, District Centre, Janakpuri, Delhi - 110058.	110058		
102078	Malviya Nagar, Delhi	Delhi	Shop No.13, Old Market, Malviya Nagar, Delhi - 110017.	28.536746	77.21228	28.536746,77.21228	Delhi	Shop No.13, Old Market, Malviya Nagar, Delhi - 110017.	110017		
102215	CP Delhi	Delhi	No.F-7, F,Block Connaught Place, Delhi 110001	28.631758	77.22091	28.631758,77.22091	Delhi	No.F-7, F,Block Connaught Place, Delhi 110001	110001		
102433	Unitech Mall, Noida	Noida	Shop No. 114, First Floor, Unitech Mall, Great India Place, Noida, UP - 201 301	28.567872	77.32603	28.567872,77.32603	Noida	Shop No. 114, First Floor, Unitech Mall, Great India Place, Noida, UP - 201 301	201 301		
102763	Mahagun Metro Mall, Ghaziabad	Ghaziabad	Shop no. 16, Mahagun Metro Mall, Link Road, NH 58 & NH 24, Vaishali, Ghaziabad - 201010	28.644715	77.335389	28.644715,77.335389	Ghaziabad	Shop no. 16, Mahagun Metro Mall, Link Road, NH 58 & NH 24, Vaishali, Ghaziabad - 201010	201010		
100270	Sahara Mall, Lucknow	Lucknow	Shop No.108, Sahara Ganj Mall, Lucknow - 226 001.	26°51'18.6"N	80°56'47.4"E	26°51'18.6"N,80°56'47.4"E	Lucknow	Shop No.108, Sahara Ganj Mall, Lucknow - 226 001.	226 001		
100392	Gariahat, Kolkata	Kolkata	# 48, Gariahat Road, Kolkata - 700 019.	22.517	88.3658	22.517,88.3658	Kolkata	# 48, Gariahat Road, Kolkata - 700 019.	700 019		
100451	Rajpur Rd, Dehradun	Dehradun	# 56, Rajpur Road, Opposite Hotel Madhuban, Dehradun - 248 001.	30.3383	78.0572	30.3383,78.0572	Dehradun	# 56, Rajpur Road, Opposite Hotel Madhuban, Dehradun - 248 001.	248 001		
101035	Gumti, Kanpur	Kanpur	119/1083B, Darshapurna, Gumti No. 5, Kanpur - 208 001.	26.4871874	80.3469712	26.4871874,80.3469712	Kanpur	119/1083B, Darshapurna, Gumti No. 5, Kanpur - 208 001.	208 001		
101036	Centre Point, Aligarh	Aligarh	3/311, Centre Point, Aligarh - 202 002.	27.890715	78.078112	27.890715,78.078112	Aligarh	3/311, Centre Point, Aligarh - 202 002.	202 002		
100875	Court Rd, Saharanpur	Saharanpur	1,2,5 & 6, Mahaveer Complex, Haati Gate, Court Road, Saharanpur - 247 001.	29.9556	77.547	29.9556,77.547	Saharanpur	1,2,5 & 6, Mahaveer Complex, Haati Gate, Court Road, Saharanpur - 247 001.	247 001		
100887	Sadar Bazaar, Jhansi	Jhansi	# 419/1, Bela Road Sadar Bazar, Ground & First Floor, Jhansi - 284 001	25.4404	78.5821	25.4404,78.5821	Jhansi	# 419/1, Bela Road Sadar Bazar, Ground & First Floor, Jhansi - 284 001	284 001		
101105	Nageeni Rd-Civil Lines, Bijnor	Bijnor	Ground Floor.Opp Khanna Petrol Pump, Nageeni Road,Civil Lines ,Bijnor - UP -246701	29.3808	78.1406	29.3808,78.1406	Bijnor	Ground Floor.Opp Khanna Petrol Pump, Nageeni Road,Civil Lines ,Bijnor - UP -246701	246701		
101148	Chauri Gali, Muzzafarnagar	Muzzaffarnagar	97B,Chauri Gali,New Mandi, Muzzafarnagar-251001	29.467654	77.710956	29.467654,77.710956	Muzzaffarnagar	97B,Chauri Gali,New Mandi, Muzzafarnagar-251001	251001		
101143	Avani Riverside Mall,Kolkata	Kolkata	Shop no 8,Avani Riverside Mall, First Floor,Jagat Bannerjee Ghat Rd,Howrah,Kolkata-711102           	22.57450902	88.32032022	22.57450902,88.32032022	Kolkata	Shop no 8,Avani Riverside Mall, First Floor,Jagat Bannerjee Ghat Rd,Howrah,Kolkata-711102           	711102		
101181	Central Plaza Mall, Deoghar	Deogarh	Shop No.1 & 2 Central Plaza Mall, Deoghar, Jharkhand 814112 	24.4909	86.6915	24.4909,86.6915	Deogarh	Shop No.1 & 2 Central Plaza Mall, Deoghar, Jharkhand 814112 	814112		
101335	Phoenix Mall-Pilibhit Rd, Bareilly	Bareily	Unit No F-38, Mahanagar Colony, Pilibhit bypass road, Bareilly - 243002 Tel : 0581-2583363	28°23'40.8"N	79°27'24.7"E	28°23'40.8"N,79°27'24.7"E	Bareily	Unit No F-38, Mahanagar Colony, Pilibhit bypass road, Bareilly - 243002 Tel : 0581-2583363	2583363		
101351	Sigra, Varanasi	Varanasi	No.C-21/89, G-1, Mahamandal Nagar, Lahurabir, Varanasi - 221010	25.3110789	82.9689334	25.3110789,82.9689334	Varanasi	No.C-21/89, G-1, Mahamandal Nagar, Lahurabir, Varanasi - 221010	221010		
